station_co,site_name,latitude,longitude,state,rivname,basin_name
RajSW122,Nawalgarh,27.84833333,75.25361111,RAJASTHAN,,
RJJJR2056,Nawalgarh,27.85,75.27,RAJASTHAN,,
RJSKR2955,Neem Ka Thana,27.73333333,76.28333333,RAJASTHAN,,
b2ahhsbud,Budra,23.61654444,87.70550556,WEST BENGAL,Ajay,
b2ampsgus,Gushkara,23.48214167,88.44145583,WEST BENGAL,Jalangi,
RJALR0162,Neemrana,28,76.38333333,RAJASTHAN,,
RJCGR0960,Nimbahera,24.61666667,74.7,RAJASTHAN,,
RJDUR1359,Nithauwa,23.91666667,74.3,RAJASTHAN,,
RJTOW3110,Niwai,26.36194444,75.92722222,RAJASTHAN,,
b2ampsman,Manteswar,23.61235583,88.13697778,WEST BENGAL,Bhagirathi,
RajSW018,Niwai,26.35916667,75.94555556,RAJASTHAN,,
b2ampssat,Satkahania,23.59649722,87.50039444,WEST BENGAL,Ajay,
RJTOR3155,Niwai,26.36333333,75.92722222,RAJASTHAN,,
RJHAR1553,nohar,29.18333333,74.76666667,RAJASTHAN,,
b2ahhsjrb,Jagdhari Road Bridge,24.275525,87.83793611,WEST BENGAL,Brahmani N,
b2ahhsbah,Berhampur,24.10040833,88.23423889,WEST BENGAL,Bhagirathi,
B2ahhsswr,Swarupganj,23.40966111,88.37985,WEST BENGAL,Jalangi,
RajSW114,Nokh,27.56388889,72.25527778,RAJASTHAN,,
RJJSR1753,Nokh,27.56055556,72.26111111,RAJASTHAN,,
RajSW118,Nokha,27.55527778,73.47694444,RAJASTHAN,,
RJBIR0757,Nokha,27.545,73.48166667,RAJASTHAN,,
RajSW057,Ogna,24.51861111,73.36222222,RAJASTHAN,,
b2ahhsbas,Bansloi Rail Bridge,24.47896667,87.86013611,WEST BENGAL,Banshila,
RJUAW3213,Ogna,24.52194444,73.36166667,RAJASTHAN,,
b2ahhsHas,Hanskhali,23.355725,88.606975,WEST BENGAL,Chumi R,
b2ampssalt,Salt Lake,22.59061667,88.83517778,WEST BENGAL,Ichamati N,
b2ampsdal,Dalkhola (Proposed ),25.81964722,87.92151944,WEST BENGAL,Sudhani Nadi,
RajSW238,Orai,25.02694444,74.83972222,RAJASTHAN,,
RJCGW0907,Orai dam,25.03333333,74.83333333,RAJASTHAN,,
RJSRW3006,Ora Tank,25.01666667,72.8,RAJASTHAN,,
RajSW239,ORA Tank,25.02444444,72.80861111,RAJASTHAN,,
RJJUR2159,Osian,26.71666667,72.91666667,RAJASTHAN,,
b2ampsgha,Ghatal,22.66413056,88.47718833,WEST BENGAL,Hooghly,
b2ampsten,Tentulia,22.78975,88.85453333,WEST BENGAL,Ichamati N,
RajSW249,Owan river NH 148 D,25.44041389,75.34143611,RAJASTHAN,,
b2ampsswr,Swarupganj,23.40966111,88.37985,WEST BENGAL,Jalangi,
b2ampshin,Hinglow Dam,23.82258611,87.19398333,WEST BENGAL,Hingla N,
RJKAW2203,Pachana Dam,26.55833333,77,RAJASTHAN,,
b2ampskar,Karnajora,25.64298056,88.13677222,WEST BENGAL,Nagar Nadi,
RJBMR0459,Pachpadra,25.93333333,72.26666667,RAJASTHAN,,
RajSW108,Pachpadra,25.92333333,72.25111111,RAJASTHAN,,
b2ahhsakh,Akheriganj,24.30933889,88.40263333,WEST BENGAL,Ganga or Padma,
RJJHR1960,Pachpahar,24.40055556,75.83222222,RAJASTHAN,,
RajSW130,Padampur,29.70222222,73.63194444,RAJASTHAN,,
RJGAR1455,Padampur,29.70277778,73.62861111,RAJASTHAN,,
RJBHR0560,Pahari,26.98333333,77.56666667,RAJASTHAN,,
b2amps,Indus,23.30117306,88.24261722,WEST BENGAL,Khari,
RJBHW0514,Pahari,26.98333333,77.56666667,RAJASTHAN,,
b2ahhskln,Kalna,22.22399167,88.37273611,WEST BENGAL,Piali,
Phot,Phot,22.92222222,69.95,GUJARAT,Chhela Nadi,
RJPAR2555,Pali,25.77027778,73.32833333,RAJASTHAN,,
RJSWW2807,Pancholas,25.85777778,76.26361111,RAJASTHAN,,
RJTOW3111,Panwar Sagar,25.75,75.5,RAJASTHAN,,
RajSW080,Panwar Sagar,25.78472222,75.44138889,RAJASTHAN,,
RajSW143,Parbati,26.63055556,77.44805556,RAJASTHAN,,
b2ampsdom,Domjur,22.64984722,88.19121111,WEST BENGAL,Kana,
RajSW209,Parbati River SH 23,26.78472222,77.79222222,RAJASTHAN,,
RJNAR2462,Parbatsar,26.86666667,74.76666667,RAJASTHAN,,
RajSW089,Parbatser,26.87055556,74.7725,RAJASTHAN,,
RJBLR0669,Paroli,24.6325,73.39972222,RAJASTHAN,,
RajSW218,Parwan River Aklera Road,24.43083333,76.605,RAJASTHAN,,
RajSW214,Parwan River SH-1,26.94083333,76.44194444,RAJASTHAN,,
RajSW216,Parwati River NH-27,25.13583333,76.61,RAJASTHAN,,
RajSW071,Patan,25.90444444,74.36777778,RAJASTHAN,,
RJBLW0611,Patan Tank,25.90972222,74.36888889,RAJASTHAN,,
b2ahhsmnk,Manikchakghat,25.05702778,87.90221944,WEST BENGAL,Ganga,
RJJPR1663,pawta,27.58333333,76.08305556,RAJASTHAN,,
