label,lat,long,riverName,stationGuid,wiskiID
Bodicote,52.02859,-1.326823,Sor Brook,cc0cedad-23fc-4893-b83c-1f47871293bd,1437TH
Partney,53.187026,0.09648,River Lymn,b435c357-5e89-429d-9e2e-f52e231d7a5f,30004
Coal Burn,55.09346,-2.481494,Coal Burn,0a8b3311-f905-40e3-9516-823b7eb8a946,763117
Coalburn Whitehill,55.092945,-2.482146,,0a8b3311-f905-40e3-9516-823b7eb8a946,603111
Kirkby Stephen,54.482067,-2.351872,River Eden,ac26cd8b-faa1-428c-9b71-267005839f70,760101
Kingston,51.415482,-0.307629,River Thames,8496ce69-482c-406a-a2f0-ac418ef8f099,3400TH
Bampton Grange,54.555648,-2.743525,River Lowther,029d4a8c-45f6-4c66-8a23-1785a26aa017,761260
Brimpton,51.379163,-1.185506,River Enborne,e18394ec-4cb0-4fd6-b078-f2686bdac694,2279TH
Ness,54.203804,-0.93696,River Rye,af5d4468-4d94-49ce-bca2-8b4f73648d71,F2505
Wigan,53.549186,-2.626059,River Douglas,e7bc8b2f-525b-4f1f-902d-6398a291f85f,700325
Ashford,53.223891,-1.728027,River Wye,951e3a10-1d16-4526-b767-e5056724b5b6,4023
Bossington,51.080366,-1.524498,Wallop Brook,f6570b4e-8721-4397-885a-7ecfeab86cd8,151808002
North Fareham,50.863669,-1.166624,"['Wallington River', 'River Wallington']",4d693468-3dc8-4013-9fe9-a8125199be8c,153309001
Evesham,52.091994,-1.94292,River Avon,bbaa85be-3a06-4d2b-b5ad-7f1f55b6554d,2002
Cundall Bat Bridge,54.146044,-1.359677,Cundall Beck,9eb75798-aa46-40f5-b9c7-7fd7b919087d,F2311
Colliford Weir,50.509842,-4.568841,St Neot River,9cba8a99-f947-4661-8745-3cf4350dfda5,SX17F025
Colliford,50.510107,-4.569038,,9cba8a99-f947-4661-8745-3cf4350dfda5,376412
Dorchester Combined,50.714835,-2.394795,River Frome,013054a3-670e-49ee-afda-e0865a449197,445512
Rocester Dove,52.954325,-1.834061,River Dove,d173a23d-0450-4ca0-8aae-0524490e9d75,4008
Newby Bridge,54.268069,-2.974952,River Leven,c9fb80f4-1454-40ca-a87e-da4a12ea76fa,735430
Farnham,52.188641,1.451352,River Alde,49aac0d2-d8f1-464f-989c-2564e4891401,35003
Horrabridge,50.509853,-4.098343,River Walkham,3f823183-2275-444a-9896-981be95ff3bf,SX56F057
Bywell,54.949776,-1.94043,River Tyne,e786e60f-a0f1-4955-aa57-f22ba39c7427,23001
Cambridge,51.730333,-2.362289,River Cam,3a387080-0ead-4df7-9d77-e7374f796d60,2603
Broom,52.180399,-1.875079,River Arrow,2ddf72d2-6461-4e9b-bc86-201fbd68e6d2,2104
Easby,54.470167,-1.099385,River Leven,5b9e9503-32e2-46ea-a713-be0f283c23be,F3808
Easby,54.470373,-1.099303,,5b9e9503-32e2-46ea-a713-be0f283c23be,31555
Manthorpe East Glen,52.730916,-0.41998,East Glen River,c0d741a3-b820-4da9-a2ba-7efd545c3dd6,31008
